BOOKING_ID,LISTING_ID,BOOKING_DATE,TOTAL_AMOUNT,CLEANING_FEE,SERVICE_FEE,BOOKING_STATUS,CREATED_AT,HOST_ID,PROPERTY_TYPE,ROOM_TYPE,CITY,COUNTRY,ACCOMMODATES,BEDROOMS,BATHROOMS,PRICE_PER_NIGHT,PRICE_CATEGORY,LISTING_CREATED_AT,HOST_NAME,HOST_SINCE,IS_SUPERHOST,RESPONSE_RATE,RESPONSE_RATE_QUALITY,HOST_CREATED_AT
ef0bd262-f88d-477f-aeba-9c69cc72c051,379,2024-12-25 00:00:00.000,1773,70,23,confirmed,2025-12-26 14:15:54.011,78,Condo,Entire home,South Randybury,Cameroon,3,3,2,192,Medium,2025-12-26 14:15:54.011,Tina_Henry,2023-07-07,TRUE,82,Good,2025-12-26 14:15:54.011
490685e5-1b70-429b-84ac-d605509467af,111,2025-02-18 00:00:00.000,513,45,19,confirmed,2025-12-26 14:15:54.011,15,House,Entire home,West Alexandriaside,Lebanon,6,4,2,204,High,2025-12-26 14:15:54.011,Kenneth_Roach,2016-06-28,TRUE,93,Excellent,2025-12-26 14:15:54.011
35278efe-9927-4dfd-ae16-693d5687403b,317,2025-03-24 00:00:00.000,4680,73,42,confirmed,2025-12-26 14:15:54.011,7,House,Entire home,Josephfort,Slovenia,3,1,1,173,Medium,2025-12-26 14:15:54.011,Gerald_Hunt,2022-01-21,TRUE,99,Excellent,2025-12-26 14:15:54.011
e821bada-b726-494a-b423-d179d6ca5ef7,253,2025-06-24 00:00:00.000,14703,38,28,cancelled,2025-12-26 14:15:54.011,42,House,Private room,Cameronberg,Korea,1,4,1,241,High,2025-12-26 14:15:54.011,David_Shepard,2017-08-31,FALSE,100,Excellent,2025-12-26 14:15:54.011
67af9fda-6cce-4f90-b938-54990993a668,113,2025-04-29 00:00:00.000,21417,53,31,cancelled,2025-12-26 14:15:54.011,108,House,Private room,South Crystal,Northern Mariana Islands,2,1,3,246,High,2025-12-26 14:15:54.011,Jacob_Campbell,2016-05-07,FALSE,88,Good,2025-12-26 14:15:54.011
07a51ddc-85e0-4faa-aa74-3d90f49940f8,375,2025-08-28 00:00:00.000,8280,46,23,cancelled,2025-12-26 14:15:54.011,45,Apartment,Private room,East Chad,Indonesia,1,4,2,197,Medium,2025-12-26 14:15:54.011,Brian_Lane,2022-01-20,FALSE,93,Excellent,2025-12-26 14:15:54.011
8ed5abfe-e564-4ec4-b7f3-bceed676e0a3,230,2025-08-02 00:00:00.000,192,29,48,cancelled,2025-12-26 14:15:54.011,14,Condo,Entire home,South Lauraberg,Heard Island and McDonald Islands,6,1,3,278,High,2025-12-26 14:15:54.011,Robert_Stevens,2018-08-07,TRUE,82,Good,2025-12-26 14:15:54.011
cb9f00e9-0ac1-4d6b-9467-92e04869dbdc,372,2025-02-03 00:00:00.000,9108,50,41,cancelled,2025-12-26 14:15:54.011,60,Condo,Private room,Lake Tiffany,Czech Republic,1,1,3,107,Medium,2025-12-26 14:15:54.011,Rachel_Smith,2018-11-02,TRUE,98,Excellent,2025-12-26 14:15:54.011
40396917-9111-4de6-87f8-56d562f98666,425,2025-12-20 00:00:00.000,4000,50,26,cancelled,2025-12-26 14:15:54.011,125,Condo,Entire home,Stevenland,Spain,5,1,2,99,Low,2025-12-26 14:15:54.011,Andrew_Willis,2018-07-11,FALSE,83,Good,2025-12-26 14:15:54.011
816eb804-addb-4156-bfc3-dc5b7f6565f0,277,2025-08-03 00:00:00.000,2075,24,12,confirmed,2025-12-26 14:15:54.011,60,House,Private room,Hallmouth,Ecuador,5,1,3,222,High,2025-12-26 14:15:54.011,Rachel_Smith,2018-11-02,TRUE,98,Excellent,2025-12-26 14:15:54.011
63839e49-e88e-45cf-9e44-32f3b47ad65f,411,2025-01-13 00:00:00.000,3425,25,24,cancelled,2025-12-26 14:15:54.011,51,Condo,Private room,Loganville,Venezuela,3,2,2,181,Medium,2025-12-26 14:15:54.011,Emily_Jimenez,2021-06-04,FALSE,96,Excellent,2025-12-26 14:15:54.011
3ab5fc5c-745e-4e8d-af18-53d0872184f0,279,2025-11-01 00:00:00.000,54488,31,28,cancelled,2025-12-26 14:15:54.011,77,House,Private room,Morristown,Cayman Islands,5,1,1,138,Medium,2025-12-26 14:15:54.011,Charles_Barrett,2021-09-12,FALSE,70,Good,2025-12-26 14:15:54.011
f470fae7-6a82-4321-b4ea-74f8a3a0862c,65,2025-03-21 00:00:00.000,4432,22,30,confirmed,2025-12-26 14:15:54.011,156,House,Private room,West Jamesfurt,Western Sahara,4,2,1,178,Medium,2025-12-26 14:15:54.011,Jeffrey_Clark,2016-02-13,TRUE,74,Good,2025-12-26 14:15:54.011
026727cb-44a8-4fac-b0f8-d623ce63a8b0,400,2025-01-17 00:00:00.000,24304,73,14,confirmed,2025-12-26 14:15:54.011,58,Apartment,Entire home,Wellsberg,Denmark,6,1,1,140,Medium,2025-12-26 14:15:54.011,Jeremy_Rogers,2017-04-29,FALSE,71,Good,2025-12-26 14:15:54.011
240e47e9-3b23-41bb-b496-f39691db87ec,208,2025-05-11 00:00:00.000,1116,28,22,confirmed,2025-12-26 14:15:54.011,175,Condo,Entire home,Baileymouth,Antarctica (the territory South of 60 deg S),1,1,3,53,Low,2025-12-26 14:15:54.011,Joseph_Powers,2020-06-03,FALSE,75,Good,2025-12-26 14:15:54.011
d05ee36c-3412-4998-976c-3339e7f2ce3f,366,2025-02-15 00:00:00.000,63,20,41,cancelled,2025-12-26 14:15:54.011,51,Apartment,Entire home,New Nicholas,Eritrea,1,1,1,171,Medium,2025-12-26 14:15:54.011,Emily_Jimenez,2021-06-04,FALSE,96,Excellent,2025-12-26 14:15:54.011
873e13b0-7a0c-404d-9692-9e232335395c,252,2025-03-13 00:00:00.000,18144,47,39,confirmed,2025-12-26 14:15:54.011,60,Apartment,Entire home,Lake Jeremy,Rwanda,5,2,1,120,Medium,2025-12-26 14:15:54.011,Rachel_Smith,2018-11-02,TRUE,98,Excellent,2025-12-26 14:15:54.011
5e170a83-2544-487b-a6ed-a98fee7d140b,131,2025-02-07 00:00:00.000,540,58,10,confirmed,2025-12-26 14:15:54.011,5,Condo,Entire home,New Crystal,Ukraine,5,2,3,154,Medium,2025-12-26 14:15:54.011,Monica_Johnson,2024-11-11,FALSE,77,Good,2025-12-26 14:15:54.011
402bfa0d-46a8-4a74-8060-79530e650fe9,283,2025-05-09 00:00:00.000,8600,77,17,confirmed,2025-12-26 14:15:54.011,103,Condo,Private room,Davilamouth,Tokelau,5,4,2,196,Medium,2025-12-26 14:15:54.011,Tabitha_Foster,2017-02-26,TRUE,74,Good,2025-12-26 14:15:54.011
bcd63bac-4fad-4dae-a4a7-58f138a549b7,86,2025-09-23 00:00:00.000,40898,70,46,confirmed,2025-12-26 14:15:54.011,163,Apartment,Entire home,Lake Maryshire,El Salvador,5,3,2,162,Medium,2025-12-26 14:15:54.011,Breanna_Bartlett,2019-11-01,FALSE,91,Excellent,2025-12-26 14:15:54.011
3267dd4c-cfa6-492d-9cba-c309ec9e674f,263,2025-04-08 00:00:00.000,28223,47,41,confirmed,2025-12-26 14:15:54.011,169,House,Private room,Stuartbury,Afghanistan,4,1,3,300,High,2025-12-26 14:15:54.011,Travis_Rodriguez,2022-12-08,TRUE,74,Good,2025-12-26 14:15:54.011
18abdb96-bcb7-4c81-bab5-74f95108e183,159,2025-10-18 00:00:00.000,45630,80,35,confirmed,2025-12-26 14:15:54.011,29,Apartment,Private room,Stevenside,Brunei Darussalam,6,3,1,146,Medium,2025-12-26 14:15:54.011,Jacob_Hunt,2020-07-07,FALSE,91,Excellent,2025-12-26 14:15:54.011
5ad0790a-c89c-468d-8079-e03aae598684,154,2025-08-18 00:00:00.000,12168,21,30,cancelled,2025-12-26 14:15:54.011,4,Apartment,Private room,West Kathryn,French Polynesia,6,4,3,70,Low,2025-12-26 14:15:54.011,Kevin_Johnson,2020-02-25,FALSE,100,Excellent,2025-12-26 14:15:54.011
d0e3433c-0e42-4412-a117-8efc2d420109,415,2025-04-03 00:00:00.000,14872,64,45,confirmed,2025-12-26 14:15:54.011,36,Condo,Entire home,West Thomasmouth,Morocco,6,4,1,120,Medium,2025-12-26 14:15:54.011,Taylor_Perkins,2016-08-03,FALSE,84,Good,2025-12-26 14:15:54.011
1c290610-2e5e-431c-af69-1b297b144d2f,79,2025-02-21 00:00:00.000,14641,25,22,confirmed,2025-12-26 14:15:54.011,191,Condo,Entire home,South Brendashire,Andorra,2,2,2,155,Medium,2025-12-26 14:15:54.011,Jessica_Lewis,2019-03-05,FALSE,77,Good,2025-12-26 14:15:54.011
b28f6182-8d6c-4c9f-ba61-4b6ddfc5d184,71,2025-11-14 00:00:00.000,36652,47,26,cancelled,2025-12-26 14:15:54.011,101,Condo,Entire home,Port Aaron,Lesotho,5,2,3,71,Low,2025-12-26 14:15:54.011,Brandon_Olson,2017-02-20,FALSE,98,Excellent,2025-12-26 14:15:54.011
8ea01cd5-93ac-4869-8ae0-e714b69deead,231,2025-09-10 00:00:00.000,49348,66,34,confirmed,2025-12-26 14:15:54.011,158,Condo,Private room,New Thomas,Palestinian Territory,4,2,1,267,High,2025-12-26 14:15:54.011,Donna_Harrington,2021-05-06,TRUE,93,Excellent,2025-12-26 14:15:54.011
8b211966-82ca-4a6d-9356-24db3e1a0cb6,471,2025-04-22 00:00:00.000,13915,43,23,cancelled,2025-12-26 14:15:54.011,110,House,Entire home,Boydberg,Saudi Arabia,1,1,2,132,Medium,2025-12-26 14:15:54.011,Nicole_Compton,2018-05-05,FALSE,73,Good,2025-12-26 14:15:54.011
4c9329c2-30be-4099-bcbe-0aa9fb5cb288,37,2025-06-08 00:00:00.000,17415,43,33,confirmed,2025-12-26 14:15:54.011,139,Apartment,Entire home,Downsbury,Azerbaijan,2,1,2,108,Medium,2025-12-26 14:15:54.011,Mary_Anderson,2017-03-24,TRUE,79,Good,2025-12-26 14:15:54.011
4fe7e358-6e09-4fcf-98b0-e4d2c1d26d76,93,2025-08-04 00:00:00.000,7139,68,16,confirmed,2025-12-26 14:15:54.011,65,Condo,Private room,West Jennifer,Morocco,5,2,3,242,High,2025-12-26 14:15:54.011,Cory_Gordon,2016-11-27,FALSE,100,Excellent,2025-12-26 14:15:54.011
268cf6cf-aea2-4a08-a59c-a46d1c636c8a,237,2025-02-09 00:00:00.000,3840,43,30,cancelled,2025-12-26 14:15:54.011,34,Apartment,Private room,West Juanfort,Palau,4,4,2,195,Medium,2025-12-26 14:15:54.011,Ashley_Thornton,2016-06-26,TRUE,96,Excellent,2025-12-26 14:15:54.011
360b18ba-f100-4551-b90c-54128208b2fa,161,2025-04-09 00:00:00.000,4410,53,16,confirmed,2025-12-26 14:15:54.011,53,Condo,Private room,Pedrobury,Tajikistan,5,1,3,247,High,2025-12-26 14:15:54.011,Jennifer_Ramirez,2024-04-24,FALSE,81,Good,2025-12-26 14:15:54.011
207eca49-6ae1-4c87-9fd5-cedba6a97cfe,149,2025-10-09 00:00:00.000,3984,78,17,confirmed,2025-12-26 14:15:54.011,88,Condo,Private room,Paulfurt,Uruguay,1,2,2,66,Low,2025-12-26 14:15:54.011,Lance_Munoz,2024-11-17,TRUE,76,Good,2025-12-26 14:15:54.011
b35a9041-10d6-473e-b3db-3316e425ebc7,212,2025-04-09 00:00:00.000,78,63,44,confirmed,2025-12-26 14:15:54.011,138,Condo,Entire home,East Ashleyshire,Slovenia,5,4,2,260,High,2025-12-26 14:15:54.011,Sherry_Jackson,2017-11-26,TRUE,82,Good,2025-12-26 14:15:54.011
3641b26b-ee5e-4a52-bf8b-8a2dc63b7f96,271,2025-08-05 00:00:00.000,95,60,45,confirmed,2025-12-26 14:15:54.011,13,House,Entire home,Jenkinsview,Serbia,6,3,3,64,Low,2025-12-26 14:15:54.011,Michelle_Johnson,2018-03-12,TRUE,97,Excellent,2025-12-26 14:15:54.011
8c26ddbd-3fe7-41b0-8c2a-83c141f45dc7,326,2025-01-20 00:00:00.000,215,47,28,confirmed,2025-12-26 14:15:54.011,158,Apartment,Entire home,East Aliceberg,Luxembourg,3,1,2,217,High,2025-12-26 14:15:54.011,Donna_Harrington,2021-05-06,TRUE,93,Excellent,2025-12-26 14:15:54.011
3bbf0ab8-44e9-4a43-bfae-42f733622831,240,2025-04-27 00:00:00.000,30000,43,40,cancelled,2025-12-26 14:15:54.011,19,Apartment,Private room,Marymouth,Heard Island and McDonald Islands,5,1,2,239,High,2025-12-26 14:15:54.011,Cindy_Cortez,2021-11-02,FALSE,81,Good,2025-12-26 14:15:54.011
51a58f10-90e3-4260-8457-ba97a58ad144,304,2025-07-15 00:00:00.000,18240,54,31,confirmed,2025-12-26 14:15:54.011,98,Apartment,Entire home,Jenkinsfort,American Samoa,4,1,1,228,High,2025-12-26 14:15:54.011,Jesse_Romero,2019-11-14,FALSE,90,Excellent,2025-12-26 14:15:54.011
03ef2d9a-7942-463c-b059-30555156b37c,360,2025-01-01 00:00:00.000,36842,60,46,cancelled,2025-12-26 14:15:54.011,94,House,Private room,Boydville,Cambodia,2,4,1,72,Low,2025-12-26 14:15:54.011,Alicia_Valenzuela,2023-11-07,TRUE,70,Good,2025-12-26 14:15:54.011
b6c1e866-4d96-448f-b3fc-fc14db17d7bd,302,2025-11-25 00:00:00.000,5150,63,13,cancelled,2025-12-26 14:15:54.011,72,Apartment,Entire home,Smithtown,Central African Republic,1,3,1,97,Low,2025-12-26 14:15:54.011,Ryan_Graham,2020-05-04,TRUE,76,Good,2025-12-26 14:15:54.011
0cc136ac-35e9-4874-9ffd-cff8c3488ec2,94,2025-08-05 00:00:00.000,20300,48,40,cancelled,2025-12-26 14:15:54.011,3,House,Private room,Port Johnberg,Tokelau,5,2,3,169,Medium,2025-12-26 14:15:54.011,Crystal_Green,2016-08-06,FALSE,74,Good,2025-12-26 14:15:54.011
4d589757-0f20-417f-8484-7d89f41be6dd,99,2025-08-12 00:00:00.000,344,64,27,cancelled,2025-12-26 14:15:54.011,60,Condo,Entire home,South Ginafurt,Pitcairn Islands,4,1,1,72,Low,2025-12-26 14:15:54.011,Rachel_Smith,2018-11-02,TRUE,98,Excellent,2025-12-26 14:15:54.011
